id,title,category_id,created_at,views,likes,posts_count,num_words,url
16730,Tandsikring - udvidelse af gratis tandbehandling,138,2026-03-01T13:21:00.129Z,311,0,1,1714,https://dialog.alternativet.dk/t/16730
16729,Tandsikring - udvidelse af gratis tandbehandling,138,2026-03-01T13:20:20.884Z,301,0,1,1692,https://dialog.alternativet.dk/t/16729
16615,"Ved valg: Udskift den nuværende d'Hondtske metode med den mere retvisende Sainte-Laguë-metoden, når stemmer skal veksles til mandater. Den d'Hondske favoriserer store partier",138,2026-01-02T14:20:41.739Z,833,1,3,337,https://dialog.alternativet.dk/t/16615
16579,De alternative 'jernmarker',138,2025-11-27T17:41:55.940Z,687,0,1,218,https://dialog.alternativet.dk/t/16579
16498,Udskiftning af Google Search med Ecosia Search i Offentlige Institutioner,282,2025-09-08T05:35:28.775Z,1073,0,3,650,https://dialog.alternativet.dk/t/16498
16410,Forslag til ændring af lov om arkæologiske fund,139,2025-07-16T08:16:47.256Z,1441,0,8,383,https://dialog.alternativet.dk/t/16410
16107,Handikap og boligforhold,282,2024-11-20T15:17:58.364Z,548,0,1,915,https://dialog.alternativet.dk/t/16107
15856,"Alternativets interne organer bør afsøge, om kræfter i, og i nærheden af partiet, kan opstarte spæde planer for et Nordisk Institut for Økologisk Balance",138,2024-04-09T21:35:33.121Z,499,1,1,176,https://dialog.alternativet.dk/t/15856
15846,Omstillingsdage. Tillæg til vores punkt 'Ny politisk kultur' (eller et eventuelt mere passende punkt / en mere passende sektion),282,2024-04-07T17:03:06.056Z,676,0,3,259,https://dialog.alternativet.dk/t/15846
15855,Ændring af bestemt ordlyd i landbrugsudspillet,282,2024-04-09T12:49:40.564Z,575,0,1,329,https://dialog.alternativet.dk/t/15855
15847,Vil skal tilføje et vigtigt tillæg til vores politikpunkt ‘Erhverv og iværksætteri’,282,2024-04-07T17:04:21.369Z,608,0,1,146,https://dialog.alternativet.dk/t/15847
15845,"Alternativets interne organer bør afsøge, om kræfter i, og i nærheden af partiet, kan opstarte spæde planer for et Nordisk Institut for Økologisk Balance",138,2024-04-07T17:01:16.454Z,514,0,1,176,https://dialog.alternativet.dk/t/15845
15844,“Digital bæredygtighed – IT” udvides med sektion om SoMe,282,2024-04-07T16:15:16.050Z,527,0,1,247,https://dialog.alternativet.dk/t/15844
15197,Øget frihed til skolerne,138,2023-12-18T10:36:51.625Z,707,0,1,164,https://dialog.alternativet.dk/t/15197
10751,Mindre trafikstøj - afgift på dæk,282,2019-09-01T14:14:32.608Z,4721,2,5,490,https://dialog.alternativet.dk/t/10751
14764,"Fjernelse af komplementære metoder, kiropraktik og akupunktur fra politiske visioner",282,2023-04-30T13:42:53.425Z,2394,9,13,206,https://dialog.alternativet.dk/t/14764
14799,Minihuse med have,138,2023-05-16T17:19:09.379Z,771,2,1,157,https://dialog.alternativet.dk/t/14799
13961,Det offentlige bør ikke kunne tjene penge på at fælde træer,138,2022-02-15T10:06:36.390Z,3437,5,10,232,https://dialog.alternativet.dk/t/13961
